APct,BPct,Box +-,DRB PCT,DWS,"Deff, Box +-",FG3A PerFGA,FTA PerFGA,GP,MP,ORB PCT,OWS,Off. Box +-,PER,SPct,TO Pct,TRB PCT,TS %,Teams,USG %,VORP,WS,WSPer48,age,name,position
10.7,0.7,-1.6,14.4,1.4,0.0,.471,.135,58,1034,3.0,0.7,-1.6,10.9,1.1,12.2,9.0,.563,Sterling Brown,15.2,0.1,2.1,.098,23,Sterling Brown,SG
14.9,0.6,-3.7,16.6,0.4,-1.2,.295,.201,52,730,5.1,0.2,-2.6,11.1,1.4,10.5,10.8,.487,Troy Brown,16.5,-0.3,0.6,.039,19,Troy Brown,SF
22.6,0.2,-2.5,9.6,1.0,-1.6,.320,.212,73,1591,1.7,1.5,-0.8,12.8,1.1,12.5,5.7,.549,Jalen Brunson,19.1,-0.2,2.6,.077,22,Jalen Brunson,PG
9.3,3.8,1.6,25.1,1.3,0.4,.197,.273,72,1496,8.1,4.3,1.2,21.0,0.8,9.6,16.5,.674,Thomas Bryant,17.6,1.3,5.6,.178,21,Thomas Bryant,C
10.1,0.5,-0.9,8.8,1.4,-1.0,.662,.143,63,1879,1.2,1.6,0.1,10.5,1.0,9.3,4.9,.563,Reggie Bullock,15.8,0.5,3.1,.078,27,Reggie Bullock,SG
12.0,0.3,-0.5,8.6,1.0,-1.2,.667,.145,44,1355,1.6,1.4,0.7,11.0,0.9,10.3,5.0,.569,Reggie Bullock,16.7,0.5,2.4,.084,27,Reggie Bullock,SG
5.0,1.1,-1.8,9.3,0.4,-0.5,.647,.137,19,524,0.4,0.2,-1.3,9.1,1.4,6.3,4.9,.545,Reggie Bullock,13.7,0.0,0.7,.061,27,Reggie Bullock,SG
,,,,,,,,,,,,,,,,,,,,,,,,,
24.1,0.5,-2.5,6.7,0.5,-3.2,.290,.226,58,1125,2.6,1.4,0.7,16.5,1.4,7.5,4.6,.524,Trey Burke,24.8,-0.1,1.9,.081,26,Trey Burke,PG
23.6,0.6,-3.5,7.3,0.2,-3.3,.240,.209,33,689,2.2,0.4,-0.2,15.6,1.5,6.9,4.7,.496,Trey Burke,26.1,-0.3,0.6,.044,26,Trey Burke,PG
24.7,0.4,-0.9,5.9,0.3,-3.0,.384,.258,25,436,3.2,1.0,2.1,17.9,1.3,8.6,4.5,.574,Trey Burke,22.8,0.1,1.3,.140,26,Trey Burke,PG
13.7,1.3,-2.2,17.0,0.8,-0.6,.354,.297,64,1375,2.3,0.7,-1.5,12.7,1.4,10.8,9.4,.523,Alec Burks,19.0,-0.1,1.5,.052,27,Alec Burks,SG
11.2,1.2,-3.7,9.9,0.3,-1.6,.377,.333,17,269,0.8,0.2,-2.2,12.4,1.1,10.3,5.4,.547,Alec Burks,23.2,-0.1,0.5,.084,27,Alec Burks,SG
15.0,1.4,-1.8,19.0,0.3,-0.7,.350,.288,34,979,2.8,0.6,-1.1,13.2,1.3,10.7,10.6,.517,Alec Burks,19.2,0.1,0.9,.042,27,Alec Burks,SG
9.5,0.7,-1.9,16.6,0.2,1.9,.300,.250,13,127,1.6,0.0,-3.8,9.0,2.9,15.3,8.9,.495,Alec Burks,8.5,0.0,0.2,.062,27,Alec Burks,SG
5.0,2.8,-6.3,10.7,0.3,-0.6,.329,.146,32,240,1.7,-0.2,-5.6,7.0,1.2,9.3,6.0,.470,Deonte Burton,16.3,-0.3,0.1,.027,25,Deonte Burton,SG
18.0,1.4,3.2,10.5,2.5,0.6,.213,.404,65,2185,6.0,5.4,2.6,20.2,2.7,8.2,8.3,.571,Jimmy Butler,22.3,2.9,7.9,.173,29,Jimmy Butler,SF-SG
18.2,2.4,4.6,10.8,0.4,0.9,.287,.389,10,361,4.7,1.0,3.7,22.3,3.2,7.1,7.7,.579,Jimmy Butler,23.0,0.6,1.3,.176,29,Jimmy Butler,SG
18.0,1.2,2.9,10.4,2.1,0.5,.198,.407,55,1824,6.3,4.4,2.4,19.8,2.6,8.4,8.4,.569,Jimmy Butler,22.1,2.3,6.6,.172,29,Jimmy Butler,SF
9.4,3.9,0.2,16.5,0.9,1.2,.578,.222,34,800,5.8,0.6,-1.0,12.4,0.9,13.3,11.1,.571,Bruno Caboclo,15.9,0.4,1.5,.090,23,Bruno Caboclo,SF
24.9,0.4,-5.1,8.8,0.5,-1.2,.475,.092,49,632,1.8,0.0,-4.0,7.1,1.2,21.9,5.2,.453,José Calderón,10.9,-0.5,0.6,.043,37,José Calderón,PG
7.5,0.5,-0.6,9.4,1.8,-1.2,.575,.209,82,2035,2.5,2.3,0.6,12.9,1.7,7.3,6.0,.568,Kentavious Caldwell-Pope,18.1,0.7,4.0,.095,25,Kentavious Caldwell-Pope,SG
18.2,0.3,-5.1,9.2,0.1,-2.7,.585,.146,30,629,1.0,0.0,-2.4,8.0,1.1,16.7,5.1,.518,Isaiah Canaan,14.2,-0.5,0.1,.008,27,Isaiah Canaan,PG
17.0,0.0,-5.2,9.8,0.0,-2.5,.558,.155,19,503,1.1,-0.1,-2.7,7.3,1.1,17.4,5.4,.515,Isaiah Canaan,14.2,-0.4,-0.1,-0.007,27,Isaiah Canaan,PG
26.9,0.9,-5.0,5.7,0.0,-4.6,.655,.138,7,95,0.0,0.1,-0.4,12.3,1.0,11.5,2.8,.536,Isaiah Canaan,15.4,-0.1,0.2,.079,27,Isaiah Canaan,PG
11.6,2.7,-4.3,9.3,0.0,-0.1,.833,.000,4,31,3.5,0.0,-4.2,5.2,0.0,25.0,6.6,.500,Isaiah Canaan,10.8,0.0,0.0,.030,27,Isaiah Canaan,PG
7.1,3.9,2.9,27.6,3.0,1.6,.000,.357,67,2249,14.4,7.8,1.3,23.8,1.0,10.0,20.8,.658,Clint Capela,18.2,2.8,10.8,.230,24,Clint Capela,C
7.2,0.5,-1.7,17.3,1.6,-0.7,.539,.421,67,1703,4.2,1.5,-1.0,12.1,0.9,9.7,10.8,.546,DeMarre Carroll,18.6,0.1,3.1,.088,32,DeMarre Carroll,PF
17.4,1.8,-4.0,10.3,0.7,-0.1,.551,.173,39,577,2.7,-0.7,-3.8,7.8,2.2,14.2,6.4,.432,Jevon Carter,18.0,-0.3,0.0,-0.003,23,Jevon Carter,PG
9.3,1.8,-1.6,13.2,0.7,-1.4,.675,.141,76,1330,2.4,1.2,-0.2,11.8,1.5,8.8,7.7,.565,Vince Carter,16.7,0.1,1.9,.070,42,Vince Carter,SF
10.7,4.5,-0.5,21.8,1.2,1.8,.086,.302,44,1110,8.4,0.7,-2.4,15.2,1.1,13.4,15.0,.541,Wendell Carter,19.1,0.4,1.9,.080,19,Wendell Carter,C
26.5,3.4,0.0,15.0,0.6,2.0,.309,.431,28,372,5.4,0.2,-2.0,14.7,2.6,12.0,10.1,.458,Michael Carter-Williams,19.4,0.2,0.8,.099,27,Michael Carter-Williams,PG
22.7,3.5,-3.7,7.8,0.2,-0.3,.311,.426,16,145,2.2,0.0,-3.3,12.7,3.0,12.1,5.0,.476,Michael Carter-Williams,24.7,-0.1,0.1,.044,27,Michael Carter-Williams,PG
28.9,3.3,2.4,19.6,0.4,3.5,.306,.435,12,227,7.4,0.2,-1.1,16.1,2.4,11.9,13.5,.440,Michael Carter-Williams,16.1,0.3,0.6,.134,27,Michael Carter-Williams,PG
19.7,1.4,-0.9,9.0,0.6,0.0,.289,.370,25,531,4.0,0.5,-0.9,13.9,2.1,17.3,6.5,.569,Alex Caruso,19.0,0.2,1.0,.093,24,Alex Caruso,PG
