Player,Team,Season,Season Type,Games,Less than 8ft. %,8-16 feet %,16-24 feet %,24+ feet %,Back Court Shots %,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots Usage %,Avg. Shot Dis.,Avg Made Shot Dis,Avg Missed Shot Dis
Player,Team,Season,Season Type,Games,Less than 8ft. %,8-16 feet %,16-24 feet %,24+ feet %,Back Court Shots %,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots usage %,Avg. Shot Dis.(ft.),Avg. Made Shot Dis.(ft.),Avg. Missed Shot Dis.(ft.)
Tyler Ennis,"Suns, Bucks",2014-2015,REG,33,0.433,0.391,0.278,0.279,0.000,41.67,15.97,12.50,29.86,0.00,12.30,9.92,13.64
Markel Brown,Nets,2014-2015,REG,47,0.469,0.409,0.279,0.270,0.000,38.57,10.48,20.48,30.00,0.48,13.22,10.30,14.87
Elfrid Payton,Magic,2014-2015,REG,82,0.472,0.352,0.333,0.268,0.000,68.05,18.34,7.74,5.87,0.00,6.40,5.07,7.40
Jordan Clarkson,Lakers,2014-2015,REG,59,0.552,0.436,0.386,0.314,0.000,41.68,15.80,22.18,20.34,0.00,11.82,9.72,13.52
Devyn Marble,Magic,2014-2015,REG,16,0.444,0.500,0.500,0.182,0.000,40.91,4.55,4.55,50.00,0.00,14.16,10.64,15.80
KJ McDaniels,"76ers, Rockets",2014-2015,REG,62,0.514,0.250,0.306,0.287,0.000,48.85,8.29,8.29,34.56,0.00,11.73,8.52,13.84
Nick Johnson,Rockets,2014-2015,REG,28,0.413,0.250,0.000,0.211,1.000,63.89,5.56,2.78,26.39,1.39,9.67,7.36,10.89
CJ Wilcox,Clippers,2014-2015,REG,21,0.714,1.000,0.200,0.368,0.000,18.42,5.26,26.32,50.00,0.00,18.92,15.50,21.41
Jabari Brown,Lakers,2014-2015,REG,19,0.508,0.263,0.385,0.371,0.000,37.06,11.18,15.29,36.47,0.00,14.08,12.51,15.18
Gary Harris,Nuggets,2014-2015,REG,55,0.413,0.435,0.321,0.204,0.000,29.03,10.60,12.90,47.47,0.00,15.80,12.59,17.21
